year,quarter,repository_language,pushes_by_lang
2014,1,Python,1122320
2014,1,CSS,1014191
2014,1,PHP,950984
2014,1,Ruby,851886
2014,1,C++,597800
2014,1,C,496445
2014,1,Shell,356963
2014,1,C#,295577
2014,1,Objective-C,193731
2014,1,VimL,105543
2014,1,TeX,98605
2014,1,Perl,97984
2014,1,Go,86321
2014,1,CoffeeScript,76293
2014,1,R,66018
2014,1,Scala,64228
2014,1,Emacs Lisp,49412
2014,1,Lua,49286
2014,1,Haskell,47948
2014,1,Clojure,38018
2014,1,Matlab,30333
2014,1,Puppet,26165
2014,1,Groovy,25940
2014,1,TypeScript,23278
2014,1,Erlang,17188
2014,1,ActionScript,16626
2014,1,Arduino,15975
2014,1,Assembly,12659
2014,1,XSLT,12307
2014,1,Dart,12178
2014,1,OCaml,12128
2014,1,D,11857
2014,1,ASP,11381
2014,1,Visual Basic,10823
2014,1,Common Lisp,10646
2014,1,Rust,10186
2014,1,PowerShell,9414
2014,1,Scheme,9201
2014,1,Pascal,9158
2014,1,Processing,9129
2014,1,Julia,8999
2014,1,FORTRAN,7475
2014,1,VHDL,7194
2014,1,Haxe,6959
2014,1,F#,6388
2014,1,KRL,6153
2014,1,IDL,5782
2014,1,Racket,4737
2014,1,Elixir,4184
2014,1,Verilog,4058
2014,1,Vala,3790
2014,1,XML,3338
2014,1,nesC,3311
2014,1,ColdFusion,3228
2014,1,Tcl,2929
2014,1,BlitzBasic,2867
2014,1,AutoHotkey,2849
2014,1,DOT,2754
2014,1,Standard ML,2663
2014,1,LiveScript,2323
2014,1,Apex,2132
2014,1,Logos,2106
2014,1,OpenEdge ABL,1814
2014,1,AppleScript,1742
2014,1,DM,1705
2014,1,Max,1704
2014,1,Coq,1589
2014,1,M,1329
2014,1,UnrealScript,1286
2014,1,Ada,1203
2014,1,Smalltalk,1202
2014,1,AutoIt,1064
2014,1,Lasso,1033
2014,1,xBase,940
2014,1,Objective-J,923
2014,1,Agda,851
2014,1,XQuery,841
2014,1,Kotlin,766
2014,1,Xtend,720
2014,1,Elm,714
2014,1,Pure Data,708
2014,1,Gosu,702
2014,1,Eiffel,695
2014,1,Awk,636
2014,1,SuperCollider,610
2014,1,Bluespec,604
2014,1,Perl6,598
2014,1,Nimrod,564
2014,1,Slash,558
2014,1,MoonScript,523
2014,1,Brightscript,509
2014,1,NetLogo,478
2014,1,XC,454
2014,1,Scilab,441
2014,1,Dylan,389
2014,1,COBOL,384
2014,1,Nemerle,372
2014,1,Pike,367
2014,1,Squirrel,362
2014,1,Prolog,360
2014,1,Logtalk,339
2014,1,Boo,309
2014,1,Idris,297
2014,1,Io,292
2014,1,Ceylon,289
2014,1,ooc,251
2014,1,CLIPS,226
2014,1,HaXe,218
2014,1,Crystal,208
2014,1,ANTLR,195
2014,1,Parrot,192
2014,1,Arc,188
2014,1,XProc,180
2014,1,Clean,169
2014,1,Monkey,121
2014,1,Factor,118
2014,1,REALbasic,116
2014,1,Turing,112
2014,1,Delphi,104
2014,1,DCPU-16 ASM,95
2014,1,J,92
2014,1,wisp,85
2014,1,Bro,82
2014,1,Augeas,66
2014,1,Volt,60
2014,1,Rebol,58
2014,1,Oxygene,55
2014,1,RobotFramework,41
2014,1,Forth,41
2014,1,Ragel in Ruby Host,37
2014,1,PogoScript,35
2014,1,Fantom,33
2014,1,Glyph,26
2014,1,ABAP,25
2014,1,Mirah,25
2014,1,Ecl,24
2014,1,Self,23
2014,1,Omgrofl,19
2014,1,Nu,18
2014,1,eC,16
2014,1,Rouge,12
2014,1,Opa,10
2014,1,Ioke,3
2014,1,TXL,1
2014,1,Fancy,1
